A & N ISLANDS,2001,129
A & N ISLANDS,2002,144
A & N ISLANDS,2003,113
A & N ISLANDS,2004,122
A & N ISLANDS,2005,139
A & N ISLANDS,2006,133
A & N ISLANDS,2007,156
A & N ISLANDS,2008,143
A & N ISLANDS,2009,131
A & N ISLANDS,2010,156
A & N ISLANDS,2011,136
A & N ISLANDS,2012,121
ANDHRA PRADESH,2001,10522
ANDHRA PRADESH,2002,11693
ANDHRA PRADESH,2003,11409
ANDHRA PRADESH,2004,13526
ANDHRA PRADESH,2005,13442
ANDHRA PRADESH,2006,13276
ANDHRA PRADESH,2007,14882
ANDHRA PRADESH,2008,14354
ANDHRA PRADESH,2009,14500
ANDHRA PRADESH,2010,15901
ANDHRA PRADESH,2011,15077
ANDHRA PRADESH,2012,14238
ARUNACHAL PRADESH,2001,111
ARUNACHAL PRADESH,2002,114
ARUNACHAL PRADESH,2003,81
ARUNACHAL PRADESH,2004,79
ARUNACHAL PRADESH,2005,70
ARUNACHAL PRADESH,2006,129
ARUNACHAL PRADESH,2007,129
ARUNACHAL PRADESH,2008,110
ARUNACHAL PRADESH,2009,110
ARUNACHAL PRADESH,2010,131
ARUNACHAL PRADESH,2011,134
ARUNACHAL PRADESH,2012,130
ASSAM,2001,2647
ASSAM,2002,2510
ASSAM,2003,2596
ASSAM,2004,2839
ASSAM,2005,2846
ASSAM,2006,3031
ASSAM,2007,3062
ASSAM,2008,2989
ASSAM,2009,2966
ASSAM,2010,2993
ASSAM,2011,2726
ASSAM,2012,3264
BIHAR,2001,603
BIHAR,2002,720
BIHAR,2003,599
BIHAR,2004,351
BIHAR,2005,543
BIHAR,2006,618
BIHAR,2007,965
BIHAR,2008,1015
BIHAR,2009,1051
BIHAR,2010,1226
BIHAR,2011,795
BIHAR,2012,759
CHANDIGARH,2001,70
CHANDIGARH,2002,87
CHANDIGARH,2003,103
CHANDIGARH,2004,75
CHANDIGARH,2005,89
CHANDIGARH,2006,80
CHANDIGARH,2007,82
CHANDIGARH,2008,83
CHANDIGARH,2009,75
CHANDIGARH,2010,71
CHANDIGARH,2011,105
CHANDIGARH,2012,114
CHHATTISGARH,2001,4025
CHHATTISGARH,2002,3950
CHHATTISGARH,2003,3919
CHHATTISGARH,2004,4495
CHHATTISGARH,2005,4881
CHHATTISGARH,2006,4626
CHHATTISGARH,2007,4839
CHHATTISGARH,2008,4945
CHHATTISGARH,2009,5883
CHHATTISGARH,2010,6522
CHHATTISGARH,2011,6756
CHHATTISGARH,2012,5654
D & N HAVELI,2001,50
D & N HAVELI,2002,50
D & N HAVELI,2003,52
D & N HAVELI,2004,39
D & N HAVELI,2005,69
D & N HAVELI,2006,42
D & N HAVELI,2007,76
D & N HAVELI,2008,60
D & N HAVELI,2009,56
D & N HAVELI,2010,63
D & N HAVELI,2011,63
D & N HAVELI,2012,66
DAMAN & DIU,2001,14
DAMAN & DIU,2002,17
DAMAN & DIU,2003,24
DAMAN & DIU,2004,13
DAMAN & DIU,2005,32
DAMAN & DIU,2006,22
DAMAN & DIU,2007,15
DAMAN & DIU,2008,19
DAMAN & DIU,2009,23
DAMAN & DIU,2010,31
