0-14,Farming/Agriculture Activity,1041
0-14,House Wife,569
0-14,Others (Please Specify),14666
0-14,Professional Activity,156
0-14,Public Sector Undertaking,63
0-14,Retired Person,9
0-14,Self-employed (Business activity),253
0-14,Service (Government),15
0-14,Service (Private),344
0-14,Student,14619
0-14,Unemployed,881
15-29,Farming/Agriculture Activity,52700
15-29,House Wife,127415
15-29,Others (Please Specify),140873
15-29,Professional Activity,11074
15-29,Public Sector Undertaking,9465
15-29,Retired Person,285
15-29,Self-employed (Business activity),20291
15-29,Service (Government),5911
15-29,Service (Private),39168
15-29,Student,56219
15-29,Unemployed,46242
30-44,Farming/Agriculture Activity,73634
30-44,House Wife,96636
30-44,Others (Please Specify),157915
30-44,Professional Activity,15384
30-44,Public Sector Undertaking,12145
30-44,Retired Person,475
30-44,Self-employed (Business activity),32179
30-44,Service (Government),10142
30-44,Service (Private),46080
30-44,Student,3113
30-44,Unemployed,40925
45-59,Farming/Agriculture Activity,50166
45-59,House Wife,43579
45-59,Others (Please Specify),106210
45-59,Professional Activity,9994
45-59,Public Sector Undertaking,7958
45-59,Retired Person,2205
45-59,Self-employed (Business activity),20405
45-59,Service (Government),6967
45-59,Service (Private),25719
45-59,Student,327
45-59,Unemployed,19886
60+,Farming/Agriculture Activity,20382
60+,House Wife,17044
60+,Others (Please Specify),49483
60+,Professional Activity,2596
60+,Public Sector Undertaking,1155
60+,Retired Person,8360
60+,Self-employed (Business activity),4984
60+,Service (Government),290
60+,Service (Private),4161
60+,Student,45
60+,Unemployed,6440
