A & N ISLANDS,Bankruptcy or Sudden change in Economic,3
A & N ISLANDS,Bankruptcy or Sudden change in Economic Status,0
A & N ISLANDS,Cancellation/Non-Settlement of Marriage,7
A & N ISLANDS,Cancer,5
A & N ISLANDS,Causes Not known,279
A & N ISLANDS,Death of Dear Person,10
A & N ISLANDS,Divorce,1
A & N ISLANDS,Dowry Dispute,0
A & N ISLANDS,Drug Abuse/Addiction,0
A & N ISLANDS,Failure in Examination,30
A & N ISLANDS,Fall in Social Reputation,6
A & N ISLANDS,Family Problems,99
A & N ISLANDS,Ideological Causes/Hero Worshipping,0
A & N ISLANDS,Illegitimate Pregnancy,0
A & N ISLANDS,Illness (Aids/STD),0
A & N ISLANDS,Insanity/Mental Illness,238
A & N ISLANDS,Love Affairs,75
A & N ISLANDS,Not having Children (Barrenness/Impotency,0
A & N ISLANDS,Not having Children(Barrenness/Impotency,3
A & N ISLANDS,Other Causes (Please Specity),465
A & N ISLANDS,Other Prolonged Illness,341
A & N ISLANDS,Paralysis,2
A & N ISLANDS,Physical Abuse (Rape/Incest Etc.),0
A & N ISLANDS,Poverty,16
A & N ISLANDS,Professional/Career Problem,7
A & N ISLANDS,Property Dispute,6
A & N ISLANDS,Suspected/Illicit Relation,6
A & N ISLANDS,Unemployment,24
ANDHRA PRADESH,Bankruptcy or Sudden change in Economic,8112
ANDHRA PRADESH,Bankruptcy or Sudden change in Economic Status,140
ANDHRA PRADESH,Cancellation/Non-Settlement of Marriage,814
ANDHRA PRADESH,Cancer,1304
ANDHRA PRADESH,Causes Not known,12963
ANDHRA PRADESH,Death of Dear Person,777
ANDHRA PRADESH,Divorce,281
ANDHRA PRADESH,Dowry Dispute,2769
ANDHRA PRADESH,Drug Abuse/Addiction,754
ANDHRA PRADESH,Failure in Examination,2549
ANDHRA PRADESH,Fall in Social Reputation,982
ANDHRA PRADESH,Family Problems,30696
ANDHRA PRADESH,Ideological Causes/Hero Worshipping,314
ANDHRA PRADESH,Illegitimate Pregnancy,132
ANDHRA PRADESH,Illness (Aids/STD),3885
ANDHRA PRADESH,Insanity/Mental Illness,10521
ANDHRA PRADESH,Love Affairs,3325
ANDHRA PRADESH,Not having Children (Barrenness/Impotency,27
ANDHRA PRADESH,Not having Children(Barrenness/Impotency,614
ANDHRA PRADESH,Other Causes (Please Specity),27040
ANDHRA PRADESH,Other Prolonged Illness,33836
ANDHRA PRADESH,Paralysis,1248
ANDHRA PRADESH,Physical Abuse (Rape/Incest Etc.),233
ANDHRA PRADESH,Poverty,13357
ANDHRA PRADESH,Professional/Career Problem,1096
ANDHRA PRADESH,Property Dispute,2026
ANDHRA PRADESH,Suspected/Illicit Relation,1132
ANDHRA PRADESH,Unemployment,1893
ARUNACHAL PRADESH,Bankruptcy or Sudden change in Economic,8
ARUNACHAL PRADESH,Bankruptcy or Sudden change in Economic Status,0
ARUNACHAL PRADESH,Cancellation/Non-Settlement of Marriage,4
ARUNACHAL PRADESH,Cancer,0
ARUNACHAL PRADESH,Causes Not known,813
ARUNACHAL PRADESH,Death of Dear Person,2
ARUNACHAL PRADESH,Divorce,0
ARUNACHAL PRADESH,Dowry Dispute,0
ARUNACHAL PRADESH,Drug Abuse/Addiction,3
ARUNACHAL PRADESH,Failure in Examination,5
ARUNACHAL PRADESH,Fall in Social Reputation,1
ARUNACHAL PRADESH,Family Problems,96
ARUNACHAL PRADESH,Ideological Causes/Hero Worshipping,0
ARUNACHAL PRADESH,Illegitimate Pregnancy,0
ARUNACHAL PRADESH,Illness (Aids/STD),0
ARUNACHAL PRADESH,Insanity/Mental Illness,20
ARUNACHAL PRADESH,Love Affairs,27
ARUNACHAL PRADESH,Not having Children (Barrenness/Impotency,0
ARUNACHAL PRADESH,Not having Children(Barrenness/Impotency,0
ARUNACHAL PRADESH,Other Causes (Please Specity),285
ARUNACHAL PRADESH,Other Prolonged Illness,28
ARUNACHAL PRADESH,Paralysis,1
ARUNACHAL PRADESH,Physical Abuse (Rape/Incest Etc.),0
ARUNACHAL PRADESH,Poverty,9
ARUNACHAL PRADESH,Professional/Career Problem,3
ARUNACHAL PRADESH,Property Dispute,1
ARUNACHAL PRADESH,Suspected/Illicit Relation,2
ARUNACHAL PRADESH,Unemployment,20
ASSAM,Bankruptcy or Sudden change in Economic,99
ASSAM,Bankruptcy or Sudden change in Economic Status,5
ASSAM,Cancellation/Non-Settlement of Marriage,281
ASSAM,Cancer,344
ASSAM,Causes Not known,9923
ASSAM,Death of Dear Person,280
ASSAM,Divorce,188
ASSAM,Dowry Dispute,146
ASSAM,Drug Abuse/Addiction,169
ASSAM,Failure in Examination,1352
ASSAM,Fall in Social Reputation,346
ASSAM,Family Problems,4312
ASSAM,Ideological Causes/Hero Worshipping,19
ASSAM,Illegitimate Pregnancy,192
ASSAM,Illness (Aids/STD),158
ASSAM,Insanity/Mental Illness,513
ASSAM,Love Affairs,4852
ASSAM,Not having Children (Barrenness/Impotency,0
ASSAM,Not having Children(Barrenness/Impotency,62
ASSAM,Other Causes (Please Specity),2678
ASSAM,Other Prolonged Illness,1953
ASSAM,Paralysis,92
ASSAM,Physical Abuse (Rape/Incest Etc.),107
ASSAM,Poverty,2189
ASSAM,Professional/Career Problem,152
ASSAM,Property Dispute,2293
ASSAM,Suspected/Illicit Relation,249
ASSAM,Unemployment,1515
BIHAR,Bankruptcy or Sudden change in Economic,34
BIHAR,Bankruptcy or Sudden change in Economic Status,3
BIHAR,Cancellation/Non-Settlement of Marriage,103
BIHAR,Cancer,19
BIHAR,Causes Not known,1244
BIHAR,Death of Dear Person,53
BIHAR,Divorce,40
