2001,By Hanging,29757
2001,By Machine,217
2001,By Drowning,8253
2001,By Fire-Arms,395
2001,By Over Alcoholism,1291
2001,By Fire/Self Immolation,10822
2001,By Consuming Insecticides,21530
2001,By Consuming Other Poison,20062
2001,By Jumping from (Building),620
2001,By touching electric wires,1033
2001,By Self Infliction of injury,520
2001,By Jumping from (Other sites),728
2001,By Overdose of sleeping pills,1088
2001,By Other means (please specify),7971
2001,By Jumping off Moving Vehicles/Trains,671
2001,By coming under running vehicles/trains,3548
2002,By Hanging,31385
2002,By Machine,185
2002,By Drowning,8150
2002,By Fire-Arms,471
2002,By Other means,9238
2002,By Over Alcoholism,1319
2002,By Fire/Self Immolation,10655
2002,By Consuming Insecticides,21414
2002,By Consuming Other Poison,19605
2002,By Jumping from (Building),686
2002,By touching electric wires,717
2002,By Self Infliction of injury,527
2002,By Jumping from (Other sites),780
2002,By Overdose of sleeping pills,940
2002,By Jumping off Moving Vehicles/Trains,580
2002,By coming under running vehicles/trains,3765
2003,By Hanging,32571
2003,By Machine,120
2003,By Drowning,7956
2003,By Fire-Arms,544
2003,By Over Alcoholism,1106
2003,By Fire/Self Immolation,10395
2003,By Consuming Insecticides,23001
2003,By Consuming Other Poison,19592
2003,By Jumping from (Building),697
2003,By touching electric wires,751
2003,By Self Infliction of injury,429
2003,By Jumping from (Other sites),570
2003,By Overdose of sleeping pills,1381
2003,By Other means (please specify),8256
2003,By Jumping off Moving Vehicles/Trains,491
2003,By coming under running vehicles/trains,2991
2004,By Hanging,35499
2004,By Machine,105
2004,By Drowning,7201
2004,By Fire-Arms,503
2004,By Over Alcoholism,1070
2004,By Fire/Self Immolation,8697
2004,By Consuming Insecticides,23311
2004,By Consuming Other Poison,19017
2004,By Jumping from (Building),401
2004,By touching electric wires,1047
2004,By Self Infliction of injury,308
2004,By Jumping from (Other sites),612
2004,By Overdose of sleeping pills,1021
2004,By Other means (please specify),11184
2004,By Jumping off Moving Vehicles/Trains,619
2004,By coming under running vehicles/trains,3102
2005,By Hanging,36559
2005,By Machine,85
2005,By Drowning,7783
2005,By Fire-Arms,752
2005,By Over Alcoholism,1050
2005,By Fire/Self Immolation,8978
2005,By Consuming Insecticides,22316
2005,By Consuming Other Poison,19102
2005,By Jumping from (Building),546
2005,By touching electric wires,1053
2005,By Self Infliction of injury,259
2005,By Jumping from (Other sites),432
2005,By Overdose of sleeping pills,828
2005,By Other means (please specify),10388
2005,By Jumping off Moving Vehicles/Trains,741
2005,By coming under running vehicles/trains,3042
2006,By Hanging,38706
2006,By Machine,117
2006,By Drowning,8579
2006,By Fire-Arms,353
2006,By Over Alcoholism,1256
2006,By Fire/Self Immolation,10243
2006,By Consuming Insecticides,22947
2006,By Consuming Other Poison,18733
2006,By Jumping from (Building),516
2006,By touching electric wires,601
2006,By Self Infliction of injury,216
2006,By Jumping from (Other sites),867
2006,By Overdose of sleeping pills,784
2006,By Other means (please specify),9486
2006,By Jumping off Moving Vehicles/Trains,886
2006,By coming under running vehicles/trains,3822
2007,By Hanging,38861
2007,By Machine,163
2007,By Drowning,8338
2007,By Fire-Arms,719
2007,By Over Alcoholism,1386
2007,By Fire/Self Immolation,10391
2007,By Consuming Insecticides,24125
2007,By Consuming Other Poison,18548
2007,By Jumping from (Building),855
2007,By touching electric wires,740
2007,By Self Infliction of injury,277
2007,By Jumping from (Other sites),410
2007,By Overdose of sleeping pills,819
2007,By Other means (please specify),11941
2007,By Jumping off Moving Vehicles/Trains,658
2007,By coming under running vehicles/trains,4406
2008,By Hanging,40268
2008,By Machine,117
2008,By Drowning,8351
2008,By Fire-Arms,479
2008,By Over Alcoholism,1523
2008,By Fire/Self Immolation,10986
2008,By Consuming Insecticides,23895
2008,By Consuming Other Poison,19424
2008,By Jumping from (Building),670
2008,By touching electric wires,985
2008,By Self Infliction of injury,331
2008,By Jumping from (Other sites),465
2008,By Overdose of sleeping pills,660
2008,By Other means (please specify),12669
2008,By Jumping off Moving Vehicles/Trains,497
2008,By coming under running vehicles/trains,3697
2009,By Hanging,40006
2009,By Machine,150
2009,By Drowning,7749
2009,By Fire-Arms,560
2009,By Over Alcoholism,1572
2009,By Fire/Self Immolation,11650
2009,By Consuming Insecticides,25941
2009,By Consuming Other Poison,16842
2009,By Jumping from (Building),833
2009,By touching electric wires,1073
2009,By Self Infliction of injury,313
2009,By Jumping from (Other sites),1018
2009,By Overdose of sleeping pills,622
2009,By Other means (please specify),14245
2009,By Jumping off Moving Vehicles/Trains,960
2009,By coming under running vehicles/trains,3617
2010,By Hanging,42266
2010,By Machine,177
2010,By Drowning,8409
2010,By Fire-Arms,666
2010,By Over Alcoholism,1490
2010,By Fire/Self Immolation,11885
2010,By Consuming Insecticides,25288
2010,By Consuming Other Poison,19247
2010,By Jumping from (Building),795
2010,By touching electric wires,1150
2010,By Self Infliction of injury,836
2010,By Jumping from (Other sites),875
2010,By Overdose of sleeping pills,589
2010,By Other means (please specify),15979
2010,By Jumping off Moving Vehicles/Trains,743
2010,By coming under running vehicles/trains,4204
2011,By Hanging,45015
2011,By Machine,132
2011,By Drowning,8060
2011,By Fire-Arms,402
2011,By Over Alcoholism,1389
2011,By Fire/Self Immolation,11866
2011,By Consuming Insecticides,21804
2011,By Consuming Other Poison,21561
2011,By Jumping from (Building),686
2011,By touching electric wires,742
2011,By Self Infliction of injury,481
2011,By Jumping from (Other sites),618
2011,By Overdose of sleeping pills,568
2011,By Other means (please specify),16765
2011,By Jumping off Moving Vehicles/Trains,650
2011,By coming under running vehicles/trains,4846
2012,By Hanging,50062
2012,By Machine,93
2012,By Drowning,7882
2012,By Fire-Arms,450
2012,By Over Alcoholism,1521
2012,By Fire/Self Immolation,11438
2012,By Consuming Insecticides,19929
2012,By Consuming Other Poison,19445
2012,By Jumping from (Building),566
2012,By touching electric wires,924
2012,By Self Infliction of injury,596
2012,By Jumping from (Other sites),752
2012,By Overdose of sleeping pills,660
2012,By Other means (please specify),16248
2012,By Jumping off Moving Vehicles/Trains,620
2012,By coming under running vehicles/trains,4259
