Student,Male,40931
Student,Female,33392
House Wife,Male,0
House Wife,Female,285243
Unemployed,Male,93829
Unemployed,Female,20545
Retired Person,Male,9647
Retired Person,Female,1687
Service (Private),Male,96850
Service (Private),Female,18622
Service (Government),Male,19094
Service (Government),Female,4231
Professional Activity,Male,35587
Professional Activity,Female,3617
Others (Please Specify),Male,357956
Others (Please Specify),Female,111191
Public Sector Undertaking,Male,25256
Public Sector Undertaking,Female,5530
Farming/Agriculture Activity,Male,170623
Farming/Agriculture Activity,Female,27300
Self-employed (Business activity),Male,72323
Self-employed (Business activity),Female,5789
